Year,Month,Item-Code,Description,Combined Index
2011,January,506181,gold,111.7
2011,February,506181,gold,111.7
2011,March,506181,gold,114.3
2011,April,506181,gold,117.3
2011,May,506181,gold,120.3
2011,June,506181,gold,122
2011,July,506181,gold,123.8
2011,August,506181,gold,141.2
2011,September,506181,gold,147.4
2011,October,506181,gold,146.3
2011,November,506181,gold,154.3
2011,December,506181,gold,153.7
2012,January,506181,gold,151
2012,February,506181,gold,152.5
2012,March,506181,gold,152.3
2012,April,506181,gold,154.9
2012,May,506181,gold,157
2012,June,506181,gold,161.6
2012,July,506181,gold,160.9
2012,August,506181,gold,163.5
2012,September,506181,gold,171.5
2012,October,506181,gold,169.4
2012,November,506181,gold,170.9
2012,December,506181,gold,169.5
2013,January,506181,gold,167.9
2013,February,506181,gold,165.4
2013,March,506181,gold,162.5
2013,April,506181,gold,153.5
2013,May,506181,gold,148.3
2013,June,506181,gold,149.1
2013,July,506181,gold,146.3
2013,August,506181,gold,158.5
2013,September,506181,gold,163.4
2013,October,506181,gold,164.5
2013,November,506181,gold,165.9
2013,December,506181,gold,163
2014,January,506181,gold,161.8
2014,February,506181,gold,163.4
2014,March,506181,gold,163
2014,April,506181,gold,161
2014,May,506181,gold,159.6
2014,June,506181,gold,152
2014,July,506181,gold,153.1
2014,August,506181,gold,153.9
2014,September,506181,gold,149.6
2014,October,506181,gold,148.6
2014,November,506181,gold,144.3
2014,December,506181,gold,146
