Date   , Gold_Reservs_USD_mn, Gold_Volume_mn_troy_oz, Gold_Price[/10gm], Gold_CPI, USDINR, Repo_Rate, Overall_CPI, Inflation_YoY, Inflation_MoM, FPI_Net_INR_Crore, " ""GDP current prices (Billions of U.S. dollars)""", " ""GDP per capita current prices (U.S. dollars per capita)""", Real GDP growth (Annual percent change), Remittances received (Personal remittances received current U.S. $)
2000-01,            2945    ,            11.50233897,           4510.75, ---     ,  43.59, ---      , ---        , ---          , ---          , 196.5            , 468.396                                             , 442.751                                                       , 3.8                                    , 12883465957
2000-02,            3104    ,            11.50233897,           4712.25, ---     ,  43.65, ---      , ---        , ---          , ---          , 3084.2           , 468.396                                             , 442.751                                                       , 3.8                                    , 12883465957
2000-03,            2974    ,            11.50233897,           4541.9 , ---     ,  43.64, ---      , ---        , ---          , ---          , 1198.9           , 468.396                                             , 442.751                                                       , 3.8                                    , 12883465957
2000-04,            2895    ,            11.50233897,           4462.06, ---     ,  43.68, ---      , ---        , ---          , ---          , 2586.7           , 468.396                                             , 442.751                                                       , 3.8                                    , 12883465957
2000-05,            2851    ,            11.50233897,           4371.14, ---     ,  44.08, ---      , ---        , ---          , ---          , 252.9            , 468.396                                             , 442.751                                                       , 3.8                                    , 12883465957
2000-06,            2948    ,            11.50233897,           4522.95, ---     ,  44.76, ---      , ---        , ---          , ---          , -935.1           , 468.396                                             , 442.751                                                       , 3.8                                    , 12883465957
2000-07,            2924    ,            11.50233897,           4530.25, ---     ,  44.84, ---      , ---        , ---          , ---          , -1401.9          , 468.396                                             , 442.751                                                       , 3.8                                    , 12883465957
2000-08,            2830    ,            11.50233897,           4517.25, ---     ,  45.77, ---      , ---        , ---          , ---          , 1258.9           , 468.396                                             , 442.751                                                       , 3.8                                    , 12883465957
2000-09,            2834    ,            11.50233897,           4517.78, ---     ,  45.97, ---      , ---        , ---          , ---          , 218.4            , 468.396                                             , 442.751                                                       , 3.8                                    , 12883465957
2000-10,            2800    ,            11.50233897,           4536.32, ---     ,  46.43, ---      , ---        , ---          , ---          , -218.6           , 468.396                                             , 442.751                                                       , 3.8                                    , 12883465957
2000-11,            2752    ,            11.50233897,           4484.55, ---     ,  46.82, ---      , ---        , ---          , ---          , 905              , 468.396                                             , 442.751                                                       , 3.8                                    , 12883465957
2000-12,            2811    ,            11.50233897,           4544   , ---     ,  46.78, ---      , ---        , ---          , ---          , -635             , 468.396                                             , 442.751                                                       , 3.8                                    , 12883465957
2001-01,            2751    ,            11.50233897,           4468.41, ---     ,  46.61, ---      , ---        , ---          , ---          , 4273             , 485.44                                              , 450.357                                                       , 4.8                                    , 14273018778
2001-02,            2711    ,            11.50227466,           4373.33, ---     ,  46.56, ---      , ---        , ---          , ---          , 1863.2           , 485.44                                              , 450.357                                                       , 4.8                                    , 14273018778
2001-03,            2725    ,            11.50227466,           4269.74, ---     ,  46.65, ---      , ---        , ---          , ---          , 1765.9           , 485.44                                              , 450.357                                                       , 4.8                                    , 14273018778
2001-04,            2695    ,            11.50227466,           4264.17, ---     ,  46.79, 8.75     , ---        , ---          , ---          , 1978.8           , 485.44                                              , 450.357                                                       , 4.8                                    , 14273018778
2001-05,            2816    ,            11.50214606,           4435   , ---     ,  46.95, 8.75     , ---        , ---          , ---          , -128.5           , 485.44                                              , 450.357                                                       , 4.8                                    , 14273018778
2001-06,            2798    ,            11.50208176,           4400.48, ---     ,  47.04, 8.5      , ---        , ---          , ---          , 1179.7           , 485.44                                              , 450.357                                                       , 4.8                                    , 14273018778
2001-07,            2771    ,            11.50221036,           4380.71, ---     ,  47.18, 8.5      , ---        , ---          , ---          , 477.7            , 485.44                                              , 450.357                                                       , 4.8                                    , 14273018778
2001-08,            2817    ,            11.50221036,           4446.67, ---     ,  47.17, 8.5      , ---        , ---          , ---          , 502.2            , 485.44                                              , 450.357                                                       , 4.8                                    , 14273018778
2001-09,            2925    ,            11.50221036,           4618   , ---     ,  47.75, 8.5      , ---        , ---          , ---          , -533.3           , 485.44                                              , 450.357                                                       , 4.8                                    , 14273018778
2001-10,            2937    ,            11.50221036,           4700.26, ---     ,  48.05, 8.5      , ---        , ---          , ---          , 884.4            , 485.44                                              , 450.357                                                       , 4.8                                    , 14273018778
2001-11,            2862    ,            11.50224251,           4601.56, ---     ,  48.04, 8.5      , ---        , ---          , ---          , 3.8              , 485.44                                              , 450.357                                                       , 4.8                                    , 14273018778
2001-12,            2856    ,            11.50224251,           4578.42, ---     ,  47.93, 8.5      , ---        , ---          , ---          , 227.9            , 485.44                                              , 450.357                                                       , 4.8                                    , 14273018778
2002-01,            2913    ,            11.50221036,           4690.43, ---     ,  48.35, 8.5      , ---        , ---          , ---          , 699              , 514.938                                             , 469.149                                                       , 3.8                                    , 15735736286
2002-02,            3052    ,            11.50221036,           4905.25, ---     ,  48.72, 8.5      , ---        , ---          , ---          , 2336             , 514.938                                             , 469.149                                                       , 3.8                                    , 15735736286
2002-03,            3047    ,            11.50221036,           4914.06, ---     ,  48.77, 8        , ---        , ---          , ---          , 330              , 514.938                                             , 469.149                                                       , 3.8                                    , 15735736286
2002-04,            3131    ,            11.50221036,           5047.37, ---     ,  48.94, 8        , ---        , ---          , ---          , -113             , 514.938                                             , 469.149                                                       , 3.8                                    , 15735736286
2002-05,            3249    ,            11.50221036,           5229.52, ---     ,  49.02, 8        , ---        , ---          , ---          , 47               , 514.938                                             , 469.149                                                       , 3.8                                    , 15735736286
2002-06,            3330    ,            11.50221036,           5308.16, ---     ,  48.98, 8        , ---        , ---          , ---          , -868             , 514.938                                             , 469.149                                                       , 3.8                                    , 15735736286
2002-07,            3248    ,            11.50221036,           5187.5 , ---     ,  48.79, 8        , ---        , ---          , ---          , 240              , 514.938                                             , 469.149                                                       , 3.8                                    , 15735736286
2002-08,            3208    ,            11.50221036,           5127.25, ---     ,  48.62, 8        , ---        , ---          , ---          , 176              , 514.938                                             , 469.149                                                       , 3.8                                    , 15735736286
2002-09,            3300    ,            11.50221036,           5235.29, ---     ,  48.46, 8        , ---        , ---          , ---          , 322              , 514.938                                             , 469.149                                                       , 3.8                                    , 15735736286
2002-10,            3278    ,            11.50221036,           5223.81, ---     ,  48.39, 8        , ---        , ---          , ---          , -875             , 514.938                                             , 469.149                                                       , 3.8                                    , 15735736286
2002-11,            3303    ,            11.50221036,           5241.18, ---     ,  48.29, 7.5      , ---        , ---          , ---          , 738              , 514.938                                             , 469.149                                                       , 3.8                                    , 15735736286
2002-12,            3444    ,            11.50221036,           5437.38, ---     ,  48.15, 7.5      , ---        , ---          , ---          , 650              , 514.938                                             , 469.149                                                       , 3.8                                    , 15735736286
