timestamp,merchant_category,amount (INR),transaction_status
2023-06-12,Grocery,2462,SUCCESS
2020-01-20,Utilities,2913,SUCCESS
2025-08-02,Healthcare,2828,SUCCESS
2023-03-14,Utilities,2912,SUCCESS
2026-04-14,Grocery,1427,SUCCESS
2022-05-28,Shopping,1760,SUCCESS
2025-04-10,Grocery,5574,SUCCESS
2021-11-09,Food,1908,SUCCESS
2023-08-19,Utilities,3195,SUCCESS
2022-11-05,Food,22,SUCCESS
2023-12-31,Shopping,3595,SUCCESS
2023-07-12,Food,547,SUCCESS
2024-01-22,Food,188,SUCCESS
2023-09-27,Food,2674,SUCCESS
2023-03-28,Healthcare,2270,SUCCESS
2023-01-08,Grocery,22,FAILED
2026-03-10,Shopping,22,SUCCESS
2022-07-15,Other,656,SUCCESS
2021-07-03,Other,22,SUCCESS
2023-03-07,Grocery,4546,SUCCESS
2023-09-28,Fuel,1543,SUCCESS
2023-06-29,Other,22,SUCCESS
2023-11-24,Food,3181,SUCCESS
2025-06-15,Shopping,3380,SUCCESS
2024-10-01,Other,1497,SUCCESS
2021-08-10,Transport,22,FAILED
2025-04-30,Food,711,SUCCESS
2022-12-27,Shopping,3552,FAILED
2018-11-12,Education,3765,SUCCESS
2025-06-29,Food,22,FAILED
2023-08-21,Other,3337,SUCCESS
2025-08-29,Other,22,FAILED
2025-02-15,Grocery,1465,SUCCESS
2026-03-11,Healthcare,1077,SUCCESS
2022-05-21,Other,335,SUCCESS
2022-03-30,Fuel,1871,SUCCESS
2021-06-16,Food,2078,SUCCESS
2024-10-10,Utilities,678,SUCCESS
2023-03-07,Food,4669,FAILED
2020-12-18,Transport,1482,SUCCESS
2025-11-02,Grocery,3651,SUCCESS
2025-10-24,Food,3636,SUCCESS
2024-04-17,Fuel,22,SUCCESS
2024-08-27,Utilities,705,FAILED
2020-12-22,Shopping,1705,SUCCESS
2020-04-07,Fuel,4971,SUCCESS
2023-10-15,Entertainment,438,SUCCESS
2023-04-16,Fuel,862,SUCCESS
2022-10-22,Shopping,22,SUCCESS
2023-12-01,Other,650,SUCCESS
2024-02-05,Fuel,4013,SUCCESS
2024-07-02,Fuel,1530,SUCCESS
2024-02-20,Transport,716,SUCCESS
2022-04-09,Healthcare,1821,SUCCESS
2020-02-15,Education,1234,SUCCESS
2021-08-23,Food,748,SUCCESS
2024-03-02,Food,1743,FAILED
2025-03-04,Food,42,SUCCESS
2022-08-13,Fuel,22,FAILED
2019-12-01,Grocery,22,SUCCESS
2019-08-23,Other,934,SUCCESS
2024-08-20,Fuel,22,SUCCESS
2023-04-07,Food,986,SUCCESS
2024-11-03,Food,3750,SUCCESS
2025-11-03,Shopping,2351,SUCCESS
2021-12-25,Other,2843,SUCCESS
2022-03-07,Utilities,3772,SUCCESS
2026-02-23,Fuel,2568,SUCCESS
2023-09-09,Utilities,2563,SUCCESS
2020-10-31,Food,2380,SUCCESS
2023-09-03,Shopping,1196,SUCCESS
2025-03-22,Grocery,712,SUCCESS
2021-11-30,Education,2645,SUCCESS
2025-10-15,Grocery,2027,SUCCESS
2018-06-12,Food,227,SUCCESS
2022-04-01,Utilities,2386,SUCCESS
2025-07-22,Utilities,1600,SUCCESS
2024-11-11,Utilities,853,SUCCESS
2024-09-13,Utilities,22,SUCCESS
2021-10-19,Entertainment,1745,SUCCESS
2024-05-17,Food,22,SUCCESS
