Month,No. of Banks live on UPI,Volume (in Mn),Value (in Cr.),Avg_Txn_Value_INR,MoM_Growth_Volume_%,MoM_Growth_Value_%,
Aug-25,688,20008.31,2485472.91,1242.220312,2.775638935,-0.917887085,
Jul-25,684,19467.95,2508498.09,1288.527087,5.832777476,4.349850869,
Jun-25,675,18395.01,2403930.69,1306.83848,-1.512250595,-4.389549825,
May-25,673,18677.46,2514297.01,1346.166454,4.381722443,4.984335486,
Apr-25,668,17893.42,2394925.87,1338.439421,-2.22981601,-3.322098421,
Mar-25,661,18301.51,2477221.61,1353.561324,13.63028749,12.78134579,
Feb-25,653,16106.19,2196481.69,1363.750018,-5.235408331,-6.454558521,
Jan-25,647,16996,2348037.12,1381.52337,1.589897436,1.00388054,
Dec-24,641,16730.01,2324699.91,1389.538865,8.06089903,7.865325772,
Nov-24,637,15482.02,2155187.4,1392.058271,-6.650298433,-8.282929717,
Oct-24,632,16584.97,2349821.46,1416.837932,10.25957751,13.84823074,
Sep-24,622,15041.75,2063994.71,1372.177247,0.525962287,0.158154207,
Aug-24,608,14963.05,2060735.57,1377.216256,3.654173204,-0.172303109,
Jul-24,605,14435.55,2064292.41,1430.006068,3.964021969,2.850468133,
Jun-24,602,13885.14,2007081.2,1445.48863,-1.073679951,-1.851198794,
May-24,598,14035.84,2044937.05,1456.939556,5.500981285,4.096410456,
Apr-24,583,13303.99,1964464.52,1476.598013,-1.011979167,-0.702033883,
Mar-24,572,13440,1978353.23,1471.98901,11.04987577,8.232748145,
Feb-24,560,12102.67,1827869.35,1510.302561,-0.822337421,-0.717763025,
Jan-24,550,12203.02,1841083.97,1508.711753,1.520686376,0.994791726,
Dec-23,522,12020.23,1822949.42,1516.567836,6.986379524,4.782828516,
Nov-23,516,11235.29,1739740.61,1548.460796,-1.520757241,1.39717405,
Oct-23,505,11408.79,1715768.34,1503.900361,8.081897062,8.652541896,
Sep-23,492,10555.69,1579133.18,1496.001853,-0.286509944,0.164704078,
Aug-23,484,10586.02,1576536.56,1489.262782,6.236169805,2.803984234,
Jul-23,473,9964.61,1533536.44,1538.9829,6.743930944,3.935858128,
Jun-23,458,9335.06,1475464.26,1580.56216,-0.851071513,-0.918726918,
May-23,445,9415.19,1489145.44,1581.641411,6.227166979,5.202436239,
Apr-23,414,8863.26,1415504.71,1597.047486,2.04897931,0.358873061,
Mar-23,399,8685.3,1410443.01,1623.942765,15.26976307,14.12767468,
Feb-23,390,7534.76,1235846.62,1640.193742,-6.247814764,-4.8416656,
Jan-23,385,8036.89,1298726.62,1615.956695,2.648959255,1.300381799,
Dec-22,382,7829.49,1282055.01,1637.469375,7.114625587,7.682019804,
Nov-22,376,7309.45,1190593.39,1628.841281,0.055164522,-1.732372317,
Oct-22,365,7305.42,1211582.51,1658.470711,7.73684521,8.522139293,
Sep-22,358,6780.8,1116438.1,1646.469591,3.057466757,4.068392786,
Aug-22,346,6579.63,1072792.68,1630.475695,4.631225749,0.922012792,
Jul-22,338,6288.4,1062991.76,1690.400992,7.260244766,4.791818004,
Jun-22,330,5862.75,1014384.31,1730.219283,-1.552424772,-2.605399625,
May-22,323,5955.2,1041520.07,1748.925427,6.665711394,5.920641269,
Apr-22,316,5583.05,983302.27,1761.22777,3.281751501,2.365297085,
Mar-22,314,5405.65,960581.66,1776.995662,19.39617757,16.17461356,
Feb-22,304,4527.49,826843,1826.272394,-1.94189056,-0.619008732,
Jan-22,297,4617.15,831993.11,1801.962488,1.113593062,0.622229071,
