timestamp,merchant_category,amount (INR),transaction_status
2022-12-02,Grocery,2462,SUCCESS
2020-06-18,Utilities,2913,SUCCESS
2024-04-14,Healthcare,2828,SUCCESS
2025-06-27,Utilities,2912,SUCCESS
2025-03-31,Grocery,1427,SUCCESS
2024-12-28,Shopping,1760,SUCCESS
2024-07-11,Grocery,5574,SUCCESS
2025-03-23,Food,1908,SUCCESS
2022-05-13,Utilities,3195,SUCCESS
2022-06-18,Food,22,SUCCESS
2024-03-05,Shopping,3595,SUCCESS
2020-08-12,Food,547,SUCCESS
2025-10-09,Food,188,SUCCESS
2024-11-02,Food,2674,SUCCESS
2026-04-01,Healthcare,2270,SUCCESS
2024-10-18,Grocery,22,FAILED
2023-08-29,Shopping,22,SUCCESS
2026-02-16,Other,656,SUCCESS
2020-02-10,Other,22,SUCCESS
2020-06-01,Grocery,4546,SUCCESS
2024-02-29,Fuel,1543,SUCCESS
2025-12-31,Other,22,SUCCESS
2023-11-27,Food,3181,SUCCESS
2022-12-01,Shopping,3380,SUCCESS
2021-10-26,Other,1497,SUCCESS
2024-04-24,Transport,22,FAILED
2025-09-16,Food,711,SUCCESS
2024-12-23,Shopping,3552,FAILED
2023-12-14,Education,3765,SUCCESS
2023-11-12,Food,22,FAILED
2024-10-22,Other,3337,SUCCESS
2024-09-15,Other,22,FAILED
2024-04-27,Grocery,1465,SUCCESS
2025-05-16,Healthcare,1077,SUCCESS
2021-12-28,Other,335,SUCCESS
2025-03-27,Fuel,1871,SUCCESS
2024-07-24,Food,2078,SUCCESS
2025-07-31,Utilities,678,SUCCESS
2025-11-13,Food,4669,FAILED
2018-12-31,Transport,1482,SUCCESS
2024-02-12,Grocery,3651,SUCCESS
2023-12-18,Food,3636,SUCCESS
2026-03-26,Fuel,22,SUCCESS
2022-07-09,Utilities,705,FAILED
2022-01-05,Shopping,1705,SUCCESS
2026-02-08,Fuel,4971,SUCCESS
2023-06-13,Entertainment,438,SUCCESS
2023-04-19,Fuel,862,SUCCESS
2024-01-05,Shopping,22,SUCCESS
2025-05-27,Other,650,SUCCESS
2020-04-19,Fuel,4013,SUCCESS
2024-11-12,Fuel,1530,SUCCESS
2025-11-19,Transport,716,SUCCESS
2024-03-05,Healthcare,1821,SUCCESS
2022-03-25,Education,1234,SUCCESS
2024-08-27,Food,748,SUCCESS
2023-04-10,Food,1743,FAILED
2024-10-05,Food,42,SUCCESS
2024-08-05,Fuel,22,FAILED
2020-05-29,Grocery,22,SUCCESS
2024-04-03,Other,934,SUCCESS
2025-05-06,Fuel,22,SUCCESS
