Month_Period,Discretionary,Essential,Spending_Index
2016-07,0,4320,0.0
2016-08,690,5812,0.11869946671254086
2016-09,5326,22,231.56521739130434
2016-10,2167,0,2167.0
2016-11,3527,4292,0.8215699976706266
2016-12,6453,2589,2.4915057915057917
2017-01,20484,27699,0.7394945848375452
2017-02,11725,3382,3.465858705291162
2017-03,16618,8284,2.0057936028968015
2017-04,11375,4976,2.2855133614627285
2017-05,9705,25250,0.38434121420933826
2017-06,21174,22889,0.9250327653997379
2017-07,20362,18450,1.1035716221343017
2017-08,12264,14996,0.8177635527105421
2017-09,47175,31647,1.490615520728008
2017-10,26770,43631,0.6135405207187385
2017-11,62526,57626,1.0850122338487167
2017-12,58915,58780,1.0022796481856382
2018-01,68203,80451,0.8477477253517626
2018-02,55360,83132,0.6659208737805685
2018-03,68448,65960,1.0377040978760177
2018-04,64486,62272,1.0355370706405664
2018-05,69668,99095,0.7030354403810446
2018-06,54684,85301,0.6410635155096012
2018-07,83043,67102,1.2375452662325082
2018-08,113513,97987,1.1584377678899458
2018-09,83843,80316,1.0439010421205972
2018-10,141522,97903,1.445518058506292
2018-11,129685,105843,1.2252465893201314
2018-12,123917,144929,0.8550127647829987
2019-01,135580,133880,1.0126903742876137
2019-02,173353,119241,1.4537914493215478
2019-03,135615,120937,1.121359704972796
2019-04,153796,163075,0.9430940175133067
2019-05,119963,121020,0.9912577156030772
2019-06,139693,115013,1.214573877962683
2019-07,158068,159890,0.9885984827163505
2019-08,141156,120660,1.1698560429633436
2019-09,163251,143879,1.1346330275229357
2019-10,166340,192365,0.8647058211950137
2019-11,164950,195075,0.8455678812360311
2019-12,201059,177168,1.1348430030084269
2020-01,214109,154802,1.3831062705503123
2020-02,214553,173306,1.2379938490655311
2020-03,170632,207252,0.8233029196199814
2020-04,131555,149937,0.877395990342675
2020-05,162213,157363,1.0308139091533006
2020-06,184599,178822,1.032300095625283
2020-07,194457,207118,0.9388660625051299
2020-08,215677,214394,1.005979617061965
2020-09,253017,224462,1.1272102751901205
2020-10,213376,196754,1.084475616883942
2020-11,238043,212709,1.1190964223590805
2020-12,194883,220541,0.8836548140490247
2021-01,239858,202619,1.1837824499062284
2021-02,239862,189524,1.265595567867036
2021-03,279796,270780,1.0332925869983491
2021-04,181745,259824,0.6994900413740017
2021-05,277210,237725,1.1660903729503715
2021-06,262554,283314,0.9267211407796975
2021-07,259341,266806,0.9720172259348517
2021-08,289568,260785,1.1103663540220718
2021-09,297811,300307,0.9916852031913902
2021-10,345990,322255,1.0736495208778114
2021-11,345624,255923,1.350494678107563
2021-12,375876,301481,1.2467610006567555
2022-01,358878,343157,1.0458098018988338
2022-02,327468,353428,0.9265453598884076
2022-03,324885,347599,0.9346518987341772
2022-04,399484,339945,1.1751395809922753
2022-05,397844,394791,1.0077306531034063
2022-06,361670,361293,1.0010407036928375
2022-07,394471,364842,1.08120753310328
2022-08,375312,386101,0.9720540168142097
2022-09,478497,353694,1.3528520335317151
2022-10,457675,430023,1.064301062266292
2022-11,415057,403977,1.0274247607542986
2022-12,427367,423383,1.009407535476069
2023-01,411172,455322,0.9030336706030664
2023-02,397350,393954,1.0086177355281694
2023-03,479483,502078,0.9549951302484271
2023-04,453370,482471,0.939681473743554
2023-05,492249,527730,0.9327649882231668
2023-06,489084,468307,1.0443639655952919
2023-07,480675,498480,0.9642794810634708
2023-08,574859,461713,1.2450542976821148
2023-09,537223,568764,0.9445430010637083
2023-10,543266,510599,1.06397571484528
2023-11,587474,511334,1.1489023829778913
2023-12,586400,498816,1.1755814256530952
2024-01,575365,551242,1.0437592858322011
2024-02,609631,502090,1.214184281335455
2024-03,603625,597504,1.0102425921121998
2024-04,502593,548707,0.9159571210917282
2024-05,639021,573569,1.1141116167163554
2024-06,615700,590015,1.043531022887515
2024-07,577177,598056,0.965086939873624
2024-08,615245,655796,0.9381637915391501
2024-09,620627,557334,1.11356186135807
2024-10,691674,656199,1.0540597378847911
2024-11,720888,662638,1.08790457549284
2024-12,658656,572234,1.1510236179192115
2025-01,650055,584342,1.112454500182256
2025-02,560157,659643,0.8491807702336411
2025-03,682641,652018,1.0469648890599814
2025-04,686535,727390,0.9438321342991596
2025-05,687218,741072,0.9273283468700114
2025-06,677373,657404,1.0303739703835535
2025-07,696453,690492,1.0086315140052107
2025-08,743519,741982,1.002070128291349
2025-09,771696,689207,1.1196852038861997
2025-10,653534,688299,0.9494900479442103
2025-11,706917,672942,1.0504857023551772
2025-12,709141,728714,0.9731390186835731
2026-01,775345,645167,1.2017722515685836
2026-02,688574,633127,1.0875747084317864
2026-03,788897,737078,1.070301826534198
2026-04,696528,699088,0.9963366609973837
2026-05,740643,865471,0.8557677198106929
